Subgraph_1
Ground Truth,23,6,29,20,11,15,14,19,13,0,3,28,27,10,16,21,7,12,17,24,4,25,22,26,8,5,9,2,18,1
Predicted,15,23,6,20,7,19,3,29,16,17,21,0,12,2,27,18,9,8,28,24,25,14,13,26,22,5,11,1,4,10

Subgraph_2
Ground Truth,12,23,29,28,24,8,6,21,14,15,26,1,27,13,22,10,9,16,3,2,5,19,20,4,7,0,25,18,17,11
Predicted,28,8,9,26,22,24,2,23,1,15,6,21,3,29,25,13,19,0,7,16,4,10,20,12,17,27,11,18,14,5

Subgraph_3
Ground Truth,1,6,28,10,0,27,8,4,20,13,5,12,17,16,23,26,18,11,3,15,29,25,21,9,19,2,24,7,22,14
Predicted,1,10,5,17,19,13,24,9,27,16,8,12,6,28,3,22,7,29,4,18,2,20,21,14,0,26,23,11,15,25

Subgraph_4
Ground Truth,12,27,14,6,19,17,18,25,23,0,9,8,21,5,24,26,11,28,4,13,10,2,29,22,3,1,16,15,7,20
Predicted,10,5,8,6,12,18,21,0,25,3,22,24,27,17,16,13,9,23,14,26,2,4,20,19,11,1,7,15,29,28

Subgraph_5
Ground Truth,6,28,20,22,29,25,17,2,13,18,16,24,3,5,15,1,10,8,26,21,11,23,7,12,0,27,14,19,4,9
Predicted,1,18,20,28,0,3,17,6,22,16,10,29,7,12,27,11,8,2,19,5,23,25,14,24,21,13,26,9,4,15

Subgraph_6
Ground Truth,9,23,16,13,26,12,11,6,3,22,19,24,20,7,1,29,18,2,21,4,17,5,0,27,15,28,25,14,10,8
Predicted,9,24,4,15,11,19,13,0,20,28,29,16,27,5,7,14,22,3,25,6,23,17,10,12,18,26,21,2,1,8

Subgraph_7
Ground Truth,8,23,29,12,26,0,4,9,2,25,22,20,21,19,16,13,27,6,3,18,1,7,11,17,24,15,14,10,28,5
Predicted,25,8,0,3,4,13,2,29,20,19,23,21,28,26,15,18,1,22,14,24,16,12,5,9,27,10,7,6,17,11

Subgraph_8
Ground Truth,5,19,12,1,6,23,17,7,3,15,29,21,8,18,2,25,11,24,28,14,16,10,0,22,27,26,20,4,9,13
Predicted,26,12,27,5,23,7,19,15,6,3,29,21,1,9,17,22,14,8,16,0,18,24,4,11,20,25,13,2,10,28

Subgraph_9
Ground Truth,5,9,0,7,29,1,17,18,20,10,27,14,2,12,28,8,19,26,15,25,3,4,23,11,21,22,16,24,13,6
Predicted,18,5,25,7,9,14,12,28,29,17,0,23,15,1,26,8,4,3,27,19,20,2,16,13,24,22,10,6,11,21

Subgraph_10
Ground Truth,6,11,24,10,22,8,16,26,3,12,17,25,13,4,2,28,5,20,18,9,21,29,27,19,1,7,0,23,14,15
Predicted,6,16,10,26,25,9,22,4,13,8,29,7,3,0,28,17,12,24,1,19,14,21,23,2,18,11,5,20,15,27

Subgraph_11
Ground Truth,20,2,22,16,25,9,6,29,7,15,21,4,1,3,28,14,27,23,8,19,26,11,10,17,12,5,18,13,24,0
Predicted,16,21,9,20,28,7,15,1,22,25,8,23,26,29,5,2,6,11,19,27,3,24,17,4,14,12,13,10,18,0

Subgraph_12
Ground Truth,28,1,27,20,14,13,4,12,5,3,17,7,19,2,29,8,25,22,21,0,24,11,23,16,10,6,9,18,26,15
Predicted,27,1,28,12,20,13,7,6,14,22,17,2,16,25,4,0,23,3,29,5,10,11,8,15,19,9,18,24,26,21

Subgraph_13
Ground Truth,1,24,14,12,28,7,18,16,25,17,2,3,9,10,19,11,8,23,0,20,4,22,5,26,13,27,21,6,29,15
Predicted,1,14,17,28,24,7,2,8,10,23,11,12,3,16,19,26,21,5,18,27,0,4,25,9,6,15,20,13,29,22

Subgraph_14
Ground Truth,21,2,8,4,17,7,18,9,24,29,22,16,13,12,25,3,28,11,19,27,23,10,20,15,26,0,5,6,1,14
Predicted,8,7,4,2,21,18,9,22,24,26,27,16,3,0,6,28,20,13,15,17,29,19,12,1,23,25,11,5,10,14

Subgraph_15
Ground Truth,16,1,28,27,8,12,25,5,26,7,4,19,21,9,11,24,23,3,15,22,29,13,6,18,17,10,20,2,14,0
Predicted,16,7,28,26,8,3,1,15,11,18,10,12,21,25,22,24,29,23,27,13,9,5,19,20,4,0,2,17,14,6

Subgraph_16
Ground Truth,1,9,29,20,27,5,24,10,28,2,7,11,14,0,4,16,6,21,23,13,25,12,8,26,17,3,15,19,22,18
Predicted,29,9,1,12,7,0,4,20,14,16,5,25,6,17,23,10,22,28,2,19,15,24,11,3,27,13,18,26,8,21

Subgraph_17
Ground Truth,22,17,14,15,2,0,29,19,9,26,16,13,3,12,4,23,5,18,27,11,1,8,6,10,20,21,7,28,25,24
Predicted,0,22,15,17,19,25,21,9,3,2,16,13,29,14,5,12,10,4,27,28,6,23,20,8,26,18,7,24,1,11

Subgraph_18
Ground Truth,27,23,29,16,6,0,2,12,26,13,5,8,4,28,10,9,15,25,17,20,1,11,3,21,18,24,22,19,14,7
Predicted,26,27,6,2,21,23,29,16,28,0,10,15,9,22,25,5,1,4,24,12,20,8,17,11,14,18,13,7,19,3

Subgraph_19
Ground Truth,11,20,8,18,17,13,15,28,3,10,19,16,1,9,14,0,2,26,6,23,21,29,25,4,22,12,7,27,24,5
Predicted,11,8,18,20,15,19,3,13,16,21,28,9,0,23,10,24,1,17,12,14,26,29,22,4,27,6,25,2,7,5

Subgraph_20
Ground Truth,1,25,16,3,24,6,10,7,23,8,4,9,13,11,17,22,2,27,18,26,19,20,14,0,28,12,21,15,29,5
Predicted,1,3,6,2,23,24,25,10,22,12,17,9,18,20,26,7,0,27,13,4,15,16,5,21,11,8,14,19,29,28

Subgraph_21
Ground Truth,13,24,8,20,10,0,12,16,1,17,4,11,19,15,25,14,22,6,21,26,28,7,5,9,23,29,18,27,3,2
Predicted,13,16,23,17,0,14,28,3,15,24,10,21,22,8,2,11,19,5,1,18,7,6,20,4,12,26,9,25,27,29

Subgraph_22
Ground Truth,6,28,25,24,7,23,21,9,10,29,5,16,26,4,11,15,0,1,13,8,19,18,27,17,22,2,20,3,12,14
Predicted,6,28,25,10,23,29,9,7,21,24,8,19,5,11,13,17,15,26,27,0,1,22,16,4,2,18,3,20,14,12

Subgraph_23
Ground Truth,6,19,1,23,29,3,5,4,11,12,0,9,27,21,20,22,2,18,25,24,14,28,10,15,17,26,7,16,8,13
Predicted,19,1,3,23,6,4,9,21,27,11,0,26,16,14,29,8,20,15,5,28,18,22,2,25,12,13,17,10,24,7

Subgraph_24
Ground Truth,14,8,11,15,2,28,23,18,24,22,16,27,21,10,7,9,26,5,6,29,20,13,19,4,1,3,17,0,12,25
Predicted,23,11,28,14,13,2,15,18,8,27,5,21,9,17,24,7,12,10,0,22,29,19,4,1,16,20,25,6,26,3

Subgraph_25
Ground Truth,14,9,20,6,17,26,12,2,15,10,1,4,28,8,25,19,18,29,21,23,3,24,27,7,22,5,0,16,11,13
Predicted,8,9,20,28,14,26,10,15,2,17,3,21,12,18,4,6,27,1,29,5,25,7,24,23,11,0,16,22,19,13

Subgraph_26
Ground Truth,26,18,11,29,14,19,3,7,10,6,24,4,22,23,28,15,27,12,5,25,8,17,13,1,16,9,0,21,20,2
Predicted,29,26,11,19,3,28,16,23,20,4,1,14,9,21,22,15,8,27,10,24,12,5,18,0,7,25,6,17,13,2

Subgraph_27
Ground Truth,21,13,26,18,17,24,4,2,14,8,16,9,12,22,10,25,7,19,1,23,28,20,29,11,6,0,3,27,5,15
Predicted,2,21,13,8,3,19,26,12,24,18,4,29,0,22,20,1,25,5,17,16,10,7,14,28,27,15,23,9,11,6

Subgraph_28
Ground Truth,5,1,20,2,9,11,21,19,17,28,23,29,12,25,18,14,3,10,6,0,8,15,4,24,7,27,13,22,16,26
Predicted,20,2,5,11,6,16,18,0,15,3,19,14,17,29,10,8,1,28,26,21,25,24,23,22,12,7,27,4,13,9

Subgraph_29
Ground Truth,23,8,13,29,18,2,19,9,5,24,21,11,25,26,22,14,10,27,12,17,28,6,4,3,1,0,20,15,16,7
Predicted,8,23,29,18,24,26,5,3,27,9,13,10,16,14,1,15,22,21,19,28,25,4,6,11,12,20,17,0,2,7

Subgraph_30
Ground Truth,6,18,5,4,3,7,28,27,23,15,11,8,29,17,14,9,26,13,25,12,19,10,16,21,2,24,22,0,1,20
Predicted,29,6,14,18,5,17,3,28,10,21,9,8,23,7,27,26,16,2,15,13,1,0,24,19,25,20,4,12,11,22

Subgraph_31
Ground Truth,5,3,17,16,29,19,1,28,9,10,18,4,20,21,6,24,26,14,11,27,13,15,2,23,25,12,8,7,0,22
Predicted,1,6,9,3,16,28,20,5,18,17,23,27,14,21,19,0,29,25,15,24,26,7,10,2,12,22,8,4,11,13

Subgraph_32
Ground Truth,20,10,25,7,11,1,16,13,12,23,29,26,27,17,22,5,8,28,9,4,6,21,24,14,19,3,18,0,2,15
Predicted,20,10,22,12,17,9,1,26,25,15,11,7,24,23,21,16,3,18,19,4,2,27,28,14,13,29,5,6,8,0

Subgraph_33
Ground Truth,10,13,9,1,18,4,26,21,24,25,0,6,19,27,5,7,3,12,11,2,22,20,15,17,28,16,8,14,29,23
Predicted,10,18,1,21,6,4,24,9,8,27,0,25,16,26,7,11,20,22,13,19,17,5,28,3,2,29,14,15,12,23

Subgraph_34
Ground Truth,27,23,12,2,4,20,28,15,5,11,18,14,13,17,9,3,19,21,29,22,7,0,26,24,6,8,10,16,1,25
Predicted,23,2,12,18,27,17,13,28,20,22,15,4,0,6,9,29,8,3,25,21,26,7,19,1,11,16,5,10,24,14

Subgraph_35
Ground Truth,22,28,23,7,3,2,11,16,6,19,27,29,25,26,1,24,21,13,4,12,5,17,18,14,9,20,0,8,10,15
